# Datos historicos reales registrados - 29 dias previos por zona
# Formato: ZONA_IDX;POSICION;CO2;SO2;NO2;PM25
0;1;3436.29;14.26;19.38;11.14
0;2;3500.50;15.05;20.38;11.71
0;3;3536.63;15.50;20.95;12.04
0;4;3537.79;15.52;20.98;12.06
0;5;3504.05;15.11;20.46;11.76
0;6;3442.43;14.37;19.51;11.22
0;7;3365.49;13.43;18.32;10.55
0;8;3288.85;12.50;17.13;9.87
0;9;3228.07;11.77;16.19;9.34
0;10;3195.54;11.37;15.69;9.06
0;11;3198.06;11.41;15.74;9.08
0;12;3235.40;11.87;16.33;9.42
0;13;3300.44;12.68;17.34;10.01
0;14;3380.53;13.66;18.60;10.73
0;15;3460.01;14.64;19.84;11.44
0;16;3523.36;15.42;20.83;12.01
0;17;3558.27;15.85;21.38;12.33
0;18;3558.08;15.86;21.39;12.33
0;19;3523.13;15.44;20.85;12.03
0;20;3460.68;14.68;19.88;11.48
0;21;3383.46;13.74;18.69;10.80
0;22;3307.14;12.82;17.51;10.13
0;23;3247.22;12.09;16.58;9.60
0;24;3215.93;11.72;16.10;9.33
0;25;3219.79;11.77;16.17;9.37
0;26;3258.34;12.25;16.78;9.72
0;27;3324.20;13.06;17.81;10.31
0;28;3404.55;14.05;19.06;11.03
0;29;3483.70;15.02;20.30;11.74
1;1;2618.90;6.91;12.03;6.92
1;2;2669.17;7.42;12.76;7.32
1;3;2697.60;7.72;13.17;7.55
1;4;2698.84;7.74;13.20;7.57
1;5;2672.93;7.49;12.84;7.38
1;6;2625.33;7.02;12.16;7.01
1;7;2565.82;6.44;11.32;6.55
1;8;2506.55;5.86;10.48;6.09
1;9;2459.61;5.40;9.82;5.73
1;10;2434.65;5.16;9.47;5.54
1;11;2436.93;5.19;9.52;5.57
1;12;2466.31;5.49;9.94;5.81
1;13;2517.23;6.01;10.68;6.22
1;14;2579.85;6.65;11.58;6.72
1;15;2642.01;7.28;12.48;7.22
1;16;2691.61;7.79;13.20;7.61
1;17;2719.10;8.07;13.60;7.84
1;18;2719.28;8.08;13.61;7.85
1;19;2692.44;7.82;13.23;7.64
1;20;2644.20;7.35;12.55;7.27
1;21;2584.47;6.76;11.71;6.81
1;22;2525.44;6.18;10.87;6.36
1;23;2479.17;5.73;10.22;6.00
1;24;2455.17;5.50;9.89;5.82
1;25;2458.51;5.55;9.94;5.86
1;26;2488.82;5.86;10.39;6.10
1;27;2540.38;6.38;11.13;6.52
1;28;2603.21;7.02;12.04;7.02
1;29;2665.10;7.65;12.93;7.51
2;1;3127.59;10.08;21.29;10.05
2;2;3184.83;10.73;22.23;10.56
2;3;3217.12;11.11;22.76;10.85
2;4;3218.32;11.13;22.78;10.86
2;5;3188.49;10.80;22.30;10.61
2;6;3133.88;10.19;21.42;10.14
2;7;3065.65;9.43;20.32;9.55
2;8;2997.70;8.68;19.22;8.96
2;9;2943.84;8.08;18.35;8.50
2;10;2915.10;7.77;17.89;8.25
2;11;2917.50;7.80;17.93;8.28
2;12;2950.86;8.18;18.48;8.58
2;13;3008.84;8.84;19.43;9.09
2;14;3080.19;9.66;20.59;9.72
2;15;3151.01;10.46;21.75;10.35
2;16;3207.49;11.10;22.67;10.85
